year,matches,transactions,match %
1995,506625,793144,63.88
1996,615316,960969,64.03
1997,708806,1089511,65.06
1998,688381,1045991,65.81
1999,792470,1189849,66.6
2000,759105,1124280,67.52
2001,846335,1240010,68.25
2002,936634,1344681,69.65
2003,871483,1228459,70.94
2004,879201,1224741,71.79
2005,764294,1055367,72.42
2006,959941,1319979,72.72
2007,931102,1266364,73.53
2008,451198,645324,69.92
2009,523650,622448,84.13
2010,605434,661299,91.55
2011,616066,659623,93.4
2012,632020,667750,94.65
2013,764990,805607,94.96
2014,920053,970001,94.85
2015,939180,989189,94.94
2016,947075,998397,94.86
2017,938690,987923,95.02
2018,921922,963301,95.7
2019,910473,942284,96.62
2020,809070,837996,96.55
2021,1156736,1205282,95.97
2022,973057,1008547,96.48
2023,771061,798930,96.51
2024,755671,779880,96.9
2025,240879,247267,97.42
